콘텐츠명,노키즈존,예약가능여부,룸보유여부,유아서비스기타,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,대표메뉴기타
황토기와집,,,,,10:00,20:00,10:00,20:00,,,
북촌에가면(폐업),,,,,11:00,17:00,11:00,17:00,,,
컴포트브라운,,,,,09:30,18:00,09:30,18:00,,,
유인원,y,y,,,11:00,18:00,11:00,18:00,,,
아방 얼큰 칼국수,y,y,n,오락기 미끄럼틀,10:30,20:30,10:30,20:30,,,칼국수 전골 수제비
코코찌봉,,,,,15:00,00:00,15:00,00:00,,,
삼계절,y,y,,,11:00,22:00,11:00,22:00,,,
현경식당,,,,,11:00,21:00,11:00,21:00,,,
텍시아,,,,,11:00,18:00,11:00,18:00,,,
올랭이와물꾸럭,,,,,17:00,21:00,16:00,22:00,,,
미친부엌,,,,,17:30,00:00,17:30,00:00,,,
만배성,,,,,11:30,21:30,11:30,21:30,,,
던스페이스,,,,,10:00,18:00,10:00,18:00,,,
다올터해장국,,,,,06:00,22:00,06:00,22:00,,,
도희네칼국수,,y,,,10:00,21:00,10:00,21:00,,,
피자굽는돌하르방,,,,,11:00,16:00,11:00,16:00,,,
제주초가집,y,y,,,11:00,21:00,11:00,21:00,,,전복전골
겐짱야,,,,,11:00,20:30,11:00,20:30,,,
누리해장국,,y,,,05:30,20:00,05:30,20:00,,,
델리지아레스토랑,,,,,11:00,15:30,11:30,15:00,,,
무진장회식당,,,,,10:00,21:00,10:00,21:00,,,
제주당 베이커리 카페,,,,,10:00,21:00,10:00,21:00,,,
젠칸투스,n,y,,,18:00,01:00,18:00,01:00,,,주류
잉겅 한림협재흑돼지,y,y,,,11:30,22:00,11:30,22:00,,,
섬채,,,,,11:00,21:30,11:00,21:30,,,
효선떡방,y,y,,,10:00,18:00,10:00,18:00,,,떡
